country_name,country_code,year,gini_ratio,gdp_growth
Slovenia,SVN,01/01/2013,26.2,-1.132054981
Slovenia,SVN,01/01/2014,25.7,2.979196038
Slovenia,SVN,01/01/2015,25.4,2.258902398
Slovenia,SVN,01/01/2016,..,3.14835549
Spain,ESP,01/01/2002,..,2.879876097
Spain,ESP,01/01/2003,31.8,3.187571476
Spain,ESP,01/01/2004,33.3,3.166746501
Spain,ESP,01/01/2005,32.4,3.723001788
Spain,ESP,01/01/2006,33.5,4.174123186
Spain,ESP,01/01/2007,34.1,3.768992408
Spain,ESP,01/01/2008,34.2,1.11768686
Spain,ESP,01/01/2009,34.9,-3.573751449
Spain,ESP,01/01/2010,35.2,0.014063878
Spain,ESP,01/01/2011,35.7,-0.998764958
Spain,ESP,01/01/2012,35.4,-2.927750507
Spain,ESP,01/01/2013,36.2,-1.705705
Spain,ESP,01/01/2014,36.1,1.379997238
Spain,ESP,01/01/2015,36.2,3.432253328
Spain,ESP,01/01/2016,..,3.27446274
Sweden,SWE,01/01/2002,..,2.073577213
Sweden,SWE,01/01/2003,25.3,2.385740236
Sweden,SWE,01/01/2004,26.1,4.32052981
Sweden,SWE,01/01/2005,26.8,2.818329618
Sweden,SWE,01/01/2006,26.4,4.688127152
Sweden,SWE,01/01/2007,27.1,3.404948895
Sweden,SWE,01/01/2008,28.1,-0.557047628
Sweden,SWE,01/01/2009,27.3,-5.18465903
Sweden,SWE,01/01/2010,27.7,5.988926547
Sweden,SWE,01/01/2011,27.6,2.664407951
Sweden,SWE,01/01/2012,27.6,-0.286320615
Sweden,SWE,01/01/2013,28.8,1.241204917
Sweden,SWE,01/01/2014,28.4,2.604326565
Sweden,SWE,01/01/2015,29.2,4.521969347
Sweden,SWE,01/01/2016,..,3.234941922
Switzerland,CHE,01/01/2002,..,0.162612902
Switzerland,CHE,01/01/2003,..,0.039576568
Switzerland,CHE,01/01/2004,..,2.7762235
Switzerland,CHE,01/01/2005,..,3.11524553
Switzerland,CHE,01/01/2006,33.9,3.988634221
Switzerland,CHE,01/01/2007,34.3,4.111877812
Switzerland,CHE,01/01/2008,33.8,2.154701861
Switzerland,CHE,01/01/2009,32.9,-2.222107121
Switzerland,CHE,01/01/2010,32.6,3.002699108
Switzerland,CHE,01/01/2011,31.7,1.692808495
Switzerland,CHE,01/01/2012,31.6,1.006024097
Switzerland,CHE,01/01/2013,32.5,1.852039757
Switzerland,CHE,01/01/2014,32.5,2.449218097
Switzerland,CHE,01/01/2015,32.3,1.226384359
Switzerland,CHE,01/01/2016,..,1.375884496
Turkey,TUR,01/01/2002,41.4,6.430278602
Turkey,TUR,01/01/2003,42.2,5.608255023
Turkey,TUR,01/01/2004,41.3,9.644322663
Turkey,TUR,01/01/2005,42.6,9.009853214
Turkey,TUR,01/01/2006,39.6,7.109703381
Turkey,TUR,01/01/2007,38.4,5.030457776
Turkey,TUR,01/01/2008,39,0.845251442
Turkey,TUR,01/01/2009,39,-4.704465981
Turkey,TUR,01/01/2010,38.8,8.487372187
Turkey,TUR,01/01/2011,40,11.11349555
Turkey,TUR,01/01/2012,40.2,4.789940207
