country;iso3;region;date;gdp_pc;rol_index;pop;epi
Colombia;COL;Americas;01/01/2020;16055.38;0.5;50930662;52.9
China;CHN;Asia;01/01/2020;18833.78;0.48;1411100000;37.3
Chile;CHL;Americas;01/01/2020;26353.49;0.67;19300315;55.3
Canada;CAN;Americas;01/01/2020;53274.91;0.81;38028638;71
Cameroon;CMR;Africa;01/01/2020;4711.11;0.36;26491087;33.6
Cambodia;KHM;Asia;01/01/2020;4584.21;0.33;16396860;33.6
Burkina Faso;BFA;Africa;01/01/2020;2369.59;0.51;21522626;38.3
Bulgaria;BGR;Europe;01/01/2020;27090.71;0.55;6934015;57
Brazil;BRA;Americas;01/01/2020;16958.9;0.52;213196304;51.2
Botswana;BWA;Africa;01/01/2020;15134.7;0.6;2546402;40.4
Bosnia and Herzegovina;BIH;Europe;01/01/2020;16885.51;0.52;3318407;45.4
Bolivia;BOL;Americas;01/01/2020;8910.59;0.38;11936162;44.3
Belgium;BEL;Europe;01/01/2020;58337.76;0.79;11538604;73.3
Belarus;BLR;Europe;01/01/2020;26731.49;0.51;9379952;53
Bangladesh;BGD;Asia;01/01/2020;6968.15;0.41;167420951;29
Austria;AUT;Europe;01/01/2020;61108.42;0.82;8916864;79.6
Australia;AUS;Oceania;01/01/2020;56298.2;0.8;25649248;74.9
Argentina;ARG;Americas;01/01/2020;23785.78;0.58;45376763;52.2
Albania;ALB;Europe;01/01/2020;14793.85;0.5;2837849;49
Zimbabwe;ZWE;Africa;01/01/2022;3420.03;0.39;16320537;46.2
Zambia;ZMB;Africa;01/01/2022;3610.67;0.45;20017675;38.4
Viet Nam;VNM;Asia;01/01/2022;13126.98;0.49;98186856;20.1
Uzbekistan;UZB;Asia;01/01/2022;8447.55;0.5;35648100;38.2
Uruguay;URY;Americas;01/01/2022;30592.3;0.71;3422794;37.4
United States;USA;Americas;01/01/2022;72165.48;0.71;333271411;51.1
United Kingdom;GBR;Europe;01/01/2022;54515.75;0.79;67791000;77.7
United Arab Emirates;ARE;Asia;01/01/2022;73724.31;0.63;9441129;52.4
Ukraine;UKR;Europe;01/01/2022;15022.49;0.5;38000000;49.6
Uganda;UGA;Africa;01/01/2022;2728.55;0.39;47249585;35.8
Turkiye;TUR;Asia;01/01/2022;33061.06;0.42;84979913;26.3
Tunisia;TUN;Africa;01/01/2022;12381.6;0.52;12356117;40.7
Thailand;THA;Asia;01/01/2022;20752.6;0.5;71697030;38.1
Tanzania;TZA;Africa;01/01/2022;3504.42;0.46;65497748;34.2
Sweden;SWE;Europe;01/01/2022;64621.55;0.86;10486941;72.7
Sri Lanka;LKA;Asia;01/01/2022;13249.41;0.5;22181000;34.7
Spain;ESP;Europe;01/01/2022;45787.7;0.73;47778340;56.6
South Africa;ZAF;Africa;01/01/2022;14322.33;0.58;59893885;37.2
Slovenia;SVN;Europe;01/01/2022;47558.27;0.68;2111986;67.3
Singapore;SGP;Asia;01/01/2022;132468.93;0.78;5637022;50.9
Sierra Leone;SLE;Africa;01/01/2022;1643.99;0.45;8605718;32.7
Senegal;SEN;Africa;01/01/2022;4309.27;0.56;17316449;33.9
Russian Federation;RUS;Europe;01/01/2022;38263.62;0.45;144236933;37.5
Romania;ROU;Europe;01/01/2022;39684.31;0.63;19047009;56
Portugal;PRT;Europe;01/01/2022;41240.39;0.69;10409704;50.4
Poland;POL;Europe;01/01/2022;43818;0.64;36821749;50.6
Philippines;PHL;Asia;01/01/2022;9326.6;0.47;115559009;28.9
Peru;PER;Americas;01/01/2022;15286.74;0.49;34049588;39.8
Panama;PAN;Americas;01/01/2022;33790.4;0.52;4408581;50.5
Pakistan;PAK;Asia;01/01/2022;5710.26;0.39;235824862;24.6
Norway;NOR;Europe;01/01/2022;91068.6;0.89;5457127;59.3
North Macedonia;MKD;Europe;01/01/2022;22935.97;0.53;1831712;54.3
Nigeria;NGA;Africa;01/01/2022;5669.96;0.41;218541212;28.3
Nicaragua;NIC;Americas;01/01/2022;7031.22;0.36;6948392;37.7
New Zealand;NZL;Oceania;01/01/2022;49474.24;0.83;5117200;56.7
Netherlands;NLD;Europe;01/01/2022;69953.67;0.83;17700982;62.6
Nepal;NPL;Asia;01/01/2022;4633.63;0.52;30547580;28.3
Morocco;MAR;Africa;01/01/2022;8599.82;0.48;37457971;28.4
Mongolia;MNG;Asia;01/01/2022;15469.84;0.54;3398366;29.6
Moldova;MDA;Europe;01/01/2022;15229.46;0.52;2538894;42.7
Mexico;MEX;Americas;01/01/2022;21828.77;0.42;127504125;45.5
Malaysia;MYS;Asia;01/01/2022;32735.4;0.57;33938221;35
Malawi;MWI;Africa;01/01/2022;1700.71;0.52;20405317;40.6
Madagascar;MDG;Africa;01/01/2022;1664.58;0.44;29611714;28
Liberia;LBR;Africa;01/01/2022;1600.03;0.43;5302681;24.9
Lebanon;LBN;Asia;01/01/2022;12007.23;0.45;5489739;32.2
Kyrgyz Republic;KGZ;Asia;01/01/2022;6140.06;0.46;6974900;35.7
