country,iso3,region,date, gdp_pc , rol_index , pop 
Germany,DEU,Europe,20160101, 60,181 , 0.8360 , 82,348,669 
Georgia,GEO,Asia,20160101, 15,443 , 0.6583 , 3,727,505 
France,FRA,Europe,20160101, 52,354 , 0.7199 , 66,724,104 
Finland,FIN,Europe,20160101, 54,926 , 0.8760 , 5,495,303 
Ethiopia,ETH,Africa,20160101, 2,113 , 0.3932 , 105,293,228 
Estonia,EST,Europe,20160101, 37,228 , 0.7876 , 1,315,790 
El Salvador,SLV,Americas,20160101, 9,785 , 0.4960 , 6,250,510 
Ecuador,ECU,Americas,20160101, 13,624 , 0.4571 , 16,439,585 
Dominican Republic,DOM,Americas,20160101, 18,794 , 0.4714 , 10,527,592 
Dominica,DMA,Americas,20160101, 16,445 , 0.6046 , 70,075 
